"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","Bengaluru, Karnataka","103","22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1818,1362,2425
"89","Bengaluru, Karnataka","104","0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1970,1384,2803
"89","Bengaluru, Karnataka","105","Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1555,1085,2228
"89","Bengaluru, Karnataka","106","0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1318,931,1865
"89","Bengaluru, Karnataka","107","1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1253,872,1800
"89","Bengaluru, Karnataka","108","G/10, Mariappanapalya, Rajaji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1271,885,1824
"89","Bengaluru, Karnataka","109","0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1579,1131,2203
"89","Bengaluru, Karnataka","110","400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2056,1468,2878
"89","Bengaluru, Karnataka","111","1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1810,1315,2491
"89","Bengaluru, Karnataka","112","0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1746,1273,2393
"89","Bengaluru, Karnataka","113","Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1548,1099,2178
"89","Bengaluru, Karnataka","114","0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1785,1311,2429
"89","Bengaluru, Karnataka","115","200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1700,1216,2375
"89","Bengaluru, Karnataka","116","0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1906,1395,2603
"89","Bengaluru, Karnataka","117","1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1661,1236,2232
"89","Bengaluru, Karnataka","118","0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1577,1167,2129
"89","Bengaluru, Karnataka","119","0 5th Main Road, Kempapura Agrahara, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1397,989,1972
"89","Bengaluru, Karnataka","120","1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1575,1132,2190
"89","Bengaluru, Karnataka","121","2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1520,1121,2060
"89","Bengaluru, Karnataka","122","0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1511,1090,2094
"89","Bengaluru, Karnataka","123","400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1287,920,1800
"89","Bengaluru, Karnataka","124","0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1111,788,1566
"89","Bengaluru, Karnataka","125","0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1145,815,1607
"89","Bengaluru, Karnataka","126","300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1369,993,1887
"89","Bengaluru, Karnataka","127","0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1319,975,1783
"89","Bengaluru, Karnataka","128","0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",983,696,1388
"89","Bengaluru, Karnataka","129","0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1098,720,1672
"89","Bengaluru, Karnataka","130","100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1078,703,1652
"89","Bengaluru, Karnataka","131","0 2nd Main Road, New Tharagupet, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",801,544,1179
"89","Bengaluru, Karnataka","132","100 7th Cross Road, Chamrajpet, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",914,637,1311
"89","Bengaluru, Karnataka","133","165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1017,721,1433
"89","Bengaluru, Karnataka","134","3rd Cross Road, Sampangi Rama Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",516,300,886
"89","Bengaluru, Karnataka","135","59, Kalasipalyam New Extension, Kalasipalya, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",567,351,913
"89","Bengaluru, Karnataka","136","Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1177,832,1663
